N_total,error,log10_error
1000,0.018332311009189507,-1.7367827835225442
10999,0.0044458159529963395,-2.3520485201013903
20999,0.002208506830206431,-2.6559012532693544
30998,9.150381352809212E-5,-4.0385608058276
40998,6.598217208565815E-4,-3.180573391893303
50997,0.0031970144715095343,-2.4952553978595255
60997,0.002401911852582685,-2.619442934751338
70996,0.0029972673043283317,-2.5232745237817245
80996,0.0012558590839232913,-2.90105908871019
90995,2.0017374623237106E-4,-3.6985928829710013
100995,0.002379090072704463,-2.623589115197706
110994,0.0019216202340539246,-2.7163324369334148
120994,5.75131050352864E-5,-4.240233184944637
130993,5.604654611438708E-4,-3.2514511457751802
140993,0.0013965083631170391,-2.8549564591432794
150992,0.0026575899861567753,-2.5755120213184215
160992,6.262030348231913E-4,-3.2032848319542175
170991,9.979250325519197E-4,-3.0009020831333943
180991,3.939571504027952E-4,-3.4045510125795624
190990,0.0022479202977492845,-2.6482190911729564
200990,0.0025730655351206837,-2.589549152313234
210989,0.002321079216389756,-2.6343100372029085
220989,1.691288000015171E-4,-3.771782432516123
230988,2.8966859363786925E-4,-3.538098589190985
240988,0.0018625759298295957,-2.729886013756127
250987,9.90596991646292E-4,-3.0041029952647267
260987,6.767067189141813E-4,-3.1695995114537747
270986,6.159475597796508E-4,-3.2104562609975575
280986,8.523955066599178E-4,-3.0693588483031506
290985,0.0016368516435609963,-2.785990681188277
300985,6.765587179990723E-4,-3.1696945053540864
310984,7.462240943497169E-4,-3.1271307324136672
320984,7.646002911933592E-4,-3.1165655409185535
330983,2.209638607123132E-4,-3.655678750643584
340983,8.535164880187541E-4,-3.0687880848756706
350982,6.725001766919516E-4,-3.172307597219488
360982,9.932462727384672E-4,-3.0029430560054498
370981,2.704350186106537E-4,-3.5679370723285464
380981,0.0015733403262246273,-2.803177325809715
390980,4.0063855837264286E-4,-3.3972472555351474
400980,4.415105008186108E-4,-3.3550589627696623
410979,1.1509866550336525E-4,-3.938929711712384
420979,7.595462307461049E-4,-3.119445787111417
430978,0.0012900564272648595,-2.8893912931784254
440978,1.607904628250367E-4,-3.7937397147001004
450977,8.343039194486592E-4,-3.0786757161537706
460977,8.051064069405767E-4,-3.0941467172803407
470976,2.1542203395327354E-4,-3.666709877941838
480976,4.509053729720019E-4,-3.3459145896253677
490975,9.630622338422943E-5,-4.016345647516173
500975,0.001334693807488963,-2.874618354501658
510974,1.2947052169435172E-4,-3.887829102029068
520974,6.941402686675293E-4,-3.1585527604487877
530973,2.440643436563791E-4,-3.612495663779793
540973,7.136161222899912E-4,-3.146535346773071
550972,2.0244177975123313E-4,-3.6936998532801533
560972,0.001374580586546126,-2.861829794004312
570971,0.001352300913962206,-2.868926658444536
580971,3.4066580745041825E-4,-3.467671454283041
590970,9.334275734164572E-4,-3.0299193742182267
600970,0.001124435235889994,-2.949065553572584
610969,9.025027820022486E-4,-3.044551450689492
620969,0.00148672567169972,-2.8277691594256322
630968,8.230904938981462E-4,-3.0845524140707483
640968,6.656335958024315E-4,-3.176764766489868
650967,3.7218469729265825E-4,-3.429241487244963
660967,1.6900090616295613E-4,-3.772110966744217
670966,4.659342124895195E-4,-3.3316753991248813
680966,1.6911136218809833E-4,-3.771827212214086
690965,5.116101943283189E-4,-3.291060810369252
700965,4.4207121501497245E-4,-3.354507762785033
710964,4.0863953852400553E-4,-3.388659614864484
720964,4.1289895813177317E-4,-3.384156212979482
730963,2.9437135564660454E-4,-3.5311044521125634
740963,0.0010309791833983414,-2.986750103510374
750962,8.423548684371449E-4,-3.074504909763894
760962,1.6088999052083657E-4,-3.793470973904618
770961,2.86292651776267E-4,-3.543189798796333
780961,1.5759761668305856E-4,-3.8024503545445776
790960,8.668951322181044E-4,-3.0620334356882424
800960,2.0746885634401557E-4,-3.683047087063039
810959,7.333538269423354E-5,-4.134686437347079
820959,6.648640313987699E-4,-3.1772671613899677
830958,6.51035319918731E-4,-3.1863954494814135
840958,1.6483097477246227E-4,-3.782961173047131
850957,5.695443412690948E-5,-4.244472458733528
860956,8.440469119764743E-4,-3.0736334146938633
870956,3.797357605723286E-4,-3.420518502444263
880956,6.717368746063733E-4,-3.172800810703078
890955,0.0013653656790893743,-2.8647510181164155
900955,5.6161331953408E-4,-3.250562600786448
910954,3.0188258326031654E-5,-4.520161942333413
920954,2.8814508103979327E-4,-3.540388789913993
930953,1.5350205065395637E-5,-4.813885818351298
940953,3.32544621453591E-4,-3.478150072012408
950952,0.001227842074196813,-2.910857488826359
960952,4.0668310411380614E-4,-3.390743870237569
970951,1.4538460976945482E-4,-3.837481564907261
980951,7.487778129964814E-4,-3.1256470326406163
990950,1.7128572331592294E-4,-3.7662788340193383
1000950,6.859957623582129E-4,-3.1636785670776923
1010949,8.230657168084944E-4,-3.0845654876214166
1020948,3.421034378758423E-4,-3.4658425614682384
1030948,4.734348627171409E-5,-4.324739764725058
1040948,5.499879350322064E-4,-3.2596468374264984
1050947,3.600098232608512E-4,-3.4436856488722194
1060947,3.1901615783776774E-4,-3.496187319820341
1070946,8.89317063013902E-4,-3.0509433749488233
1080946,2.3520985644324592E-6,-5.628544483151925
1090945,1.5849262367447392E-4,-3.799990945257067
1100945,4.628081114801692E-4,-3.33459903792209
