type,p,nPerThread,repeat,timeMs,speedup,efficiency
strong,1,50000000,1,1811,712,,
strong,1,50000000,2,1749,849,,
strong,1,50000000,3,1783,194,,
strong,1,50000000,4,1774,073,,
strong,1,50000000,5,1795,423,,
strong,1,50000000,mean,1782,850,1,0000,
strong,2,50000000,1,1757,531,,
strong,2,50000000,2,1774,041,,
strong,2,50000000,3,1820,482,,
strong,2,50000000,4,2001,397,,
strong,2,50000000,5,1699,302,,
strong,2,50000000,mean,1810,551,0,9847,
strong,4,50000000,1,1862,965,,
strong,4,50000000,2,1933,291,,
strong,4,50000000,3,1932,885,,
strong,4,50000000,4,1927,631,,
strong,4,50000000,5,1936,901,,
strong,4,50000000,mean,1918,735,0,9292,
strong,8,50000000,1,2404,570,,
strong,8,50000000,2,2384,273,,
strong,8,50000000,3,2388,855,,
strong,8,50000000,4,2395,301,,
strong,8,50000000,5,2397,875,,
strong,8,50000000,mean,2394,175,0,7447,
strong,12,50000000,1,2741,533,,
strong,12,50000000,2,2716,475,,
strong,12,50000000,3,2707,970,,
strong,12,50000000,4,2739,885,,
strong,12,50000000,5,2770,137,,
strong,12,50000000,mean,2735,200,0,6518,
strong,16,50000000,1,3153,863,,
strong,16,50000000,2,3169,268,,
strong,16,50000000,3,3116,316,,
strong,16,50000000,4,3116,650,,
strong,16,50000000,5,3109,965,,
strong,16,50000000,mean,3133,212,0,5690,
