p,nPerThread,repeat,timeNs,speedup
1,10000000,1,479385100,
1,10000000,2,402665000,
1,10000000,3,340982600,
1,10000000,4,344615200,
1,10000000,5,344291800,
1,10000000,mean,3.8238794E8,1.0
2,10000000,1,360795200,
2,10000000,2,356037800,
2,10000000,3,359550900,
2,10000000,4,368300000,
2,10000000,5,364372600,
2,10000000,mean,3.618113E8,1.056871192248556
4,10000000,1,409324200,
4,10000000,2,397229900,
4,10000000,3,399848500,
4,10000000,4,395683000,
4,10000000,5,393968500,
4,10000000,mean,3.9921082E8,0.9578596592146476
8,10000000,1,508614700,
8,10000000,2,489796300,
8,10000000,3,496100300,
8,10000000,4,495775800,
8,10000000,5,499256400,
8,10000000,mean,4.979087E8,0.7679880668885681
12,10000000,1,601691000,
12,10000000,2,560110100,
12,10000000,3,559793300,
12,10000000,4,566033700,
12,10000000,5,571979400,
12,10000000,mean,5.719215E8,0.6686021420771907
16,10000000,1,631796400,
16,10000000,2,639242800,
16,10000000,3,636653500,
16,10000000,4,643256800,
16,10000000,5,639298400,
16,10000000,mean,6.3804958E8,0.5993075647820346
